"Sector en vermogensklasse";"Regio's";"Perioden";"Installaties (aantal)";"Opgesteld vermogen van zonnepanelen (kWp)";"Opgesteld vermogen omvormers (kW)";"Productie van zonnestroom (mln kWh)"
"Woningen";"Edam-Volendam";"2022";"    4170";"   16185";"   15075";"       ."
"Woningen";"Ede";"2019";"    6661";"   22888";"";"       ."
"Woningen";"Ede";"2020";"    8755";"   32197";"";"       ."
"Woningen";"Ede";"2021 ";"   10787";"   40694";"";"       ."
"Woningen";"Ede";"2022";"   13907";"   55659";"   52727";"       ."
"Woningen";"Eemnes";"2019";"    1002";"    2876";"";"       ."
"Woningen";"Eemnes";"2020";"    1165";"    3543";"";"       ."
"Woningen";"Eemnes";"2021 ";"    1423";"    4525";"";"       ."
"Woningen";"Eemnes";"2022";"    1759";"    5926";"    5667";"       ."
"Woningen";"Eemsdelta";"2019";"";"";"";""
"Woningen";"Eemsdelta";"2020";"";"";"";""
"Woningen";"Eemsdelta";"2021 ";"    7140";"   26864";"";"       ."
"Woningen";"Eemsdelta";"2022";"    8665";"   33485";"   32777";"       ."
"Woningen";"Eersel";"2019";"    1270";"    5684";"";"       ."
"Woningen";"Eersel";"2020";"    1714";"    8092";"";"       ."
"Woningen";"Eersel";"2021 ";"    2422";"   11519";"";"       ."
"Woningen";"Eersel";"2022";"    2998";"   14969";"   14129";"       ."
"Woningen";"Eijsden-Margraten";"2019";"    2549";"   10496";"";"       ."
"Woningen";"Eijsden-Margraten";"2020";"    3110";"   13251";"";"       ."
"Woningen";"Eijsden-Margraten";"2021 ";"    3713";"   16269";"";"       ."
"Woningen";"Eijsden-Margraten";"2022";"    4516";"   20334";"   19423";"       ."
"Woningen";"Eindhoven";"2019";"   12202";"   39044";"";"       ."
"Woningen";"Eindhoven";"2020";"   16834";"   55813";"";"       ."
"Woningen";"Eindhoven";"2021 ";"   20399";"   69606";"";"       ."
"Woningen";"Eindhoven";"2022";"   25982";"   92846";"   88631";"       ."
"Woningen";"Elburg";"2019";"    1831";"    6227";"";"       ."
"Woningen";"Elburg";"2020";"    2422";"    8801";"";"       ."
"Woningen";"Elburg";"2021 ";"    2905";"   10992";"";"       ."
"Woningen";"Elburg";"2022";"    3704";"   14354";"   13998";"       ."
"Woningen";"Emmen";"2019";"    8281";"   31214";"";"       ."
"Woningen";"Emmen";"2020";"   10533";"   41691";"";"       ."
"Woningen";"Emmen";"2021 ";"   12712";"   50588";"";"       ."
"Woningen";"Emmen";"2022";"   16487";"   68197";"   65379";"       ."
"Woningen";"Enkhuizen";"2019";"     950";"    2826";"";"       ."
"Woningen";"Enkhuizen";"2020";"    1145";"    3567";"";"       ."
"Woningen";"Enkhuizen";"2021 ";"    1400";"    4447";"";"       ."
"Woningen";"Enkhuizen";"2022";"    1814";"    6089";"    5836";"       ."
"Woningen";"Enschede";"2019";"    6461";"   22384";"";"       ."
"Woningen";"Enschede";"2020";"    8504";"   30460";"";"       ."
"Woningen";"Enschede";"2021 ";"   10551";"   38544";"";"       ."
"Woningen";"Enschede";"2022";"   13963";"   55074";"   52784";"       ."
"Woningen";"Epe";"2019";"    1807";"    6996";"";"       ."
"Woningen";"Epe";"2020";"    2353";"    9612";"";"       ."
"Woningen";"Epe";"2021 ";"    3039";"   12996";"";"       ."
