Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;kantoorfunctie;11474;77179;0;88653
;;logiesfunctie;303;94;70;468
;;onderwijsfunctie;9303;71467;0;80770
;;overige gebruiksfunctie;89169;57374;543;147086
;;sportfunctie;4828;23226;0;28054
;;winkelfunctie;40938;96203;4506;141646
;;woonfunctie;1386605;363738;48999;1799342
168;Losser;onbekend;445644;188871;5275;639791
;;bijeenkomstfunctie;11533;6860;170;18563
;;gezondheidszorgfunctie;382;5814;0;6196
;;industriefunctie;20101;128475;560;149136
;;kantoorfunctie;5440;12896;113;18450
;;logiesfunctie;12297;10237;390;22925
;;onderwijsfunctie;4250;15350;0;19600
;;overige gebruiksfunctie;3895;8559;88;12542
;;sportfunctie;2525;33342;0;35868
;;winkelfunctie;13328;53162;705;67194
;;woonfunctie;830551;133319;22617;986487
171;Noordoostpolder;onbekend;2228280;2199379;106409;4534068
;;bijeenkomstfunctie;15158;45950;475;61583
;;gezondheidszorgfunctie;1194;7092;0;8286
;;industriefunctie;1317490;931680;40873;2290042
;;kantoorfunctie;10701;73819;492;85013
;;logiesfunctie;2256;9654;4411;16321
;;onderwijsfunctie;10027;61880;0;71908
;;overige gebruiksfunctie;37734;23347;308;61389
;;sportfunctie;1476;33664;0;35140
;;winkelfunctie;13890;138821;0;152711
;;woonfunctie;1573907;474310;41642;2089859
173;Oldenzaal;onbekend;97546;184744;2228;284518
;;bijeenkomstfunctie;14572;26525;0;41097
;;gezondheidszorgfunctie;4116;14204;0;18321
;;industriefunctie;7365;425407;493;433265
;;kantoorfunctie;6769;168414;4438;179621
;;logiesfunctie;0;1339;0;1339
;;onderwijsfunctie;2749;43867;0;46616
;;overige gebruiksfunctie;4029;60485;97;64612
;;sportfunctie;892;10489;0;11380
;;winkelfunctie;10540;181366;0;191906
;;woonfunctie;865504;219444;20080;1105029
175;Ommen;onbekend;610654;345697;17951;974301
;;bijeenkomstfunctie;15677;23348;1608;40633
;;gezondheidszorgfunctie;1885;4116;0;6000
;;industriefunctie;24175;109996;18186;152356
;;kantoorfunctie;1939;20464;387;22790
;;logiesfunctie;5668;5912;1011;12590
;;onderwijsfunctie;3971;33874;0;37845
;;overige gebruiksfunctie;10516;20101;2098;32715
;;sportfunctie;724;8822;0;9546
;;winkelfunctie;13400;56975;8466;78841
;;woonfunctie;726727;226740;21710;975178
177;Raalte;onbekend;974548;713897;21220;1709665
;;bijeenkomstfunctie;15044;27615;0;42659
;;gezondheidszorgfunctie;6254;14340;0;20594
;;industriefunctie;56155;303480;7472;367107
;;kantoorfunctie;10670;92184;3192;106046
;;logiesfunctie;669;794;0;1464
;;onderwijsfunctie;4931;35221;0;40153
;;overige gebruiksfunctie;5360;17368;1151;23879
;;sportfunctie;8789;36568;0;45357
;;winkelfunctie;9145;92356;0;101501
;;woonfunctie;1364463;227296;27498;1619257
180;Staphorst;onbekend;415300;193243;11535;620078
;;bijeenkomstfunctie;10652;8100;0;18752
;;gezondheidszorgfunctie;1338;538;0;1876
;;industriefunctie;79521;277485;8555;365561
;;kantoorfunctie;4083;49333;142;53558
;;logiesfunctie;15205;6347;198;21749
;;onderwijsfunctie;1887;14744;0;16631
;;overige gebruiksfunctie;1975;19827;7;21809
;;sportfunctie;617;10286;0;10903
