Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;onderwijsfunctie;991;14255;0;15246
;;overige gebruiksfunctie;2550;32901;131;35582
;;sportfunctie;161;16251;0;16411
;;winkelfunctie;4128;48253;858;53239
;;woonfunctie;516402;228501;8852;753756
546;Leiden;onbekend;112879;222733;7006;342618
;;bijeenkomstfunctie;40415;76827;121;117364
;;gezondheidszorgfunctie;3995;36220;153;40368
;;industriefunctie;14533;260664;1053;276250
;;kantoorfunctie;37061;170950;247;208258
;;logiesfunctie;940;22207;0;23146
;;onderwijsfunctie;15592;181382;0;196974
;;overige gebruiksfunctie;74016;227775;2952;304744
;;sportfunctie;4140;58969;0;63108
;;winkelfunctie;38073;158331;1238;197642
;;woonfunctie;1477934;967677;38916;2484526
547;Leiderdorp;onbekend;37945;68933;665;107544
;;bijeenkomstfunctie;3839;21443;0;25282
;;gezondheidszorgfunctie;289;19759;0;20048
;;industriefunctie;1906;55525;0;57430
;;kantoorfunctie;3435;34505;0;37940
;;logiesfunctie;186;751;0;937
;;onderwijsfunctie;347;26777;0;27124
;;overige gebruiksfunctie;4252;33340;46;37638
;;sportfunctie;1883;20752;0;22634
;;winkelfunctie;9134;68104;0;77237
;;woonfunctie;418905;232283;4785;655973
553;Lisse;onbekend;164425;141960;2218;308603
;;bijeenkomstfunctie;13667;23807;0;37474
;;gezondheidszorgfunctie;504;2891;0;3395
;;industriefunctie;20357;150529;2273;173160
;;kantoorfunctie;11599;172104;0;183702
;;logiesfunctie;1170;5690;0;6861
;;onderwijsfunctie;2962;10159;502;13623
;;overige gebruiksfunctie;7286;39163;3984;50433
;;sportfunctie;1998;9807;0;11805
;;winkelfunctie;14761;47313;6552;68627
;;woonfunctie;436672;167244;5875;609791
556;Maassluis;onbekend;21366;86265;3435;111066
;;bijeenkomstfunctie;11003;26786;568;38357
;;gezondheidszorgfunctie;308;12145;0;12452
;;industriefunctie;35864;120170;1005;157039
;;kantoorfunctie;2023;51391;0;53414
;;logiesfunctie;136;1070;0;1205
;;onderwijsfunctie;433;18774;0;19207
;;overige gebruiksfunctie;2763;27060;710;30534
;;sportfunctie;646;2650;0;3296
;;winkelfunctie;7055;73686;0;80741
;;woonfunctie;364320;268723;25689;658731
569;Nieuwkoop;onbekend;719856;759527;49168;1528551
;;bijeenkomstfunctie;15560;26540;407;42507
;;gezondheidszorgfunctie;323;3499;651;4473
;;industriefunctie;157238;426375;6583;590197
;;kantoorfunctie;8561;67504;0;76065
;;ligplaats;0;39;0;39
;;logiesfunctie;15409;15277;141;30827
;;onderwijsfunctie;609;12535;0;13144
;;overige gebruiksfunctie;4535;11730;709;16974
;;sportfunctie;802;17062;0;17864
;;winkelfunctie;20167;89349;4630;114146
;;woonfunctie;814176;203028;41585;1058790
575;Noordwijk;onbekend;313735;434344;3987;752065
;;bijeenkomstfunctie;16698;32875;349;49921
;;gezondheidszorgfunctie;4939;5530;0;10469
;;industriefunctie;109012;415223;6275;530511
;;kantoorfunctie;14399;72214;22533;109146
;;logiesfunctie;22432;68229;6975;97636
;;onderwijsfunctie;1587;23797;0;25384
;;overige gebruiksfunctie;16380;82291;1594;100266
;;sportfunctie;735;31018;0;31753
;;winkelfunctie;20718;79817;75;100609
;;woonfunctie;982151;423994;32150;1438295
579;Oegstgeest;onbekend;53672;58342;3825;115840
;;bijeenkomstfunctie;5066;12986;0;18052
;;gezondheidszorgfunctie;4276;25591;0;29867
;;industriefunctie;5990;11053;0;17043
;;kantoorfunctie;2680;31475;1909;36065
;;logiesfunctie;1378;3724;0;5103
;;onderwijsfunctie;2749;33688;0;36436
;;overige gebruiksfunctie;3561;19965;57;23583
;;sportfunctie;1893;4534;0;6427
;;winkelfunctie;3667;23196;0;26862
;;woonfunctie;440036;195217;30830;666082
589;Oudewater;onbekend;222428;102221;5558;330207
;;bijeenkomstfunctie;6707;1801;0;8508
;;gezondheidszorgfunctie;96;275;0;370
;;industriefunctie;13333;63876;0;77208
;;kantoorfunctie;2169;27119;0;29288
;;logiesfunctie;238;908;0;1146
;;onderwijsfunctie;1288;4812;0;6100
;;overige gebruiksfunctie;13497;13935;290;27722
;;sportfunctie;0;8265;0;8265
;;winkelfunctie;3242;13567;49;16858
;;woonfunctie;306440;52710;6302;365452
590;Papendrecht;onbekend;35337;168250;851;204438
;;bijeenkomstfunctie;4079;17922;0;22001
;;gezondheidszorgfunctie;659;1587;0;2246
;;industriefunctie;2882;147867;0;150749
;;kantoorfunctie;1989;62745;9226;73959
;;logiesfunctie;0;1489;0;1489
;;onderwijsfunctie;1177;37455;0;38631
;;overige gebruiksfunctie;2986;40386;1102;44474
;;sportfunctie;1245;25393;0;26638
;;winkelfunctie;9169;34000;0;43169
;;woonfunctie;495446;233869;12308;741623
597;Ridderkerk;onbekend;168298;428065;6874;603237
;;bijeenkomstfunctie;11660;41580;0;53239
;;gezondheidszorgfunctie;1922;8595;0;10517
;;industriefunctie;91103;400032;95;491230
;;kantoorfunctie;7565;109635;26009;143209
;;logiesfunctie;818;495;0;1313
;;onderwijsfunctie;2329;37277;0;39606
;;overige gebruiksfunctie;10132;189086;152;199370
;;sportfunctie;2436;15275;0;17711
;;winkelfunctie;16713;269835;0;286548
;;woonfunctie;709759;466251;18719;1194729
599;Rotterdam;onbekend;930159;4142419;49165;5121743
;;bijeenkomstfunctie;135317;769886;6180;911382
;;gezondheidszorgfunctie;9786;110614;58;120458
;;industriefunctie;229796;2885611;18717;3134124
;;kantoorfunctie;132370;1096463;20075;1248908
;;ligplaats;0;24;0;24
;;logiesfunctie;23560;26335;78;49973
;;onderwijsfunctie;59955;605480;0;665435
;;overige gebruiksfunctie;170939;2062068;4548;2237554
;;sportfunctie;8414;108394;54;116862
;;standplaats;485;127;0;613
;;winkelfunctie;112550;776924;1773;891248
;;woonfunctie;4502365;5727684;169826;10399875
603;Rijswijk (ZH.);onbekend;65919;132884;6510;205314
;;bijeenkomstfunctie;16205;35532;0;51736
;;gezondheidszorgfunctie;3249;14536;0;17786
;;industriefunctie;9692;198574;3576;211841
;;kantoorfunctie;14060;205492;1685;221237
;;logiesfunctie;895;1199;0;2094
;;onderwijsfunctie;11730;30325;1420;43475
;;overige gebruiksfunctie;8766;170298;3267;182331
;;sportfunctie;3361;15176;0;18538
;;winkelfunctie;5112;95823;0;100934
;;woonfunctie;529202;455649;58827;1043677
606;Schiedam;onbekend;67578;261613;3053;332243
;;bijeenkomstfunctie;18150;68500;0;86650
;;gezondheidszorgfunctie;1100;19400;0;20500
;;industriefunctie;23778;451357;52;475188
;;kantoorfunctie;7256;141060;0;148316
;;logiesfunctie;227;2504;0;2731
;;onderwijsfunctie;3277;63326;538;67141
;;overige gebruiksfunctie;10017;85424;1227;96669
;;sportfunctie;1585;35708;557;37851
;;winkelfunctie;20912;150678;0;171590
;;woonfunctie;614303;777848;27918;1420068
610;Sliedrecht;onbekend;36196;93210;1794;131200
;;bijeenkomstfunctie;7899;22584;63;30546
;;gezondheidszorgfunctie;622;27453;0;28075
;;industriefunctie;11768;156585;144;168497
;;kantoorfunctie;4119;57902;0;62021
;;logiesfunctie;88;0;0;88
;;onderwijsfunctie;839;14003;0;14842
;;overige gebruiksfunctie;3613;25141;477;29231
;;sportfunctie;1485;13022;0;14508
;;winkelfunctie;8035;150266;0;158302
;;woonfunctie;398497;190019;11360;599876
613;Albrandswaard;onbekend;55900;183704;10364;249968
;;bijeenkomstfunctie;4041;5432;0;9473
;;gezondheidszorgfunctie;3635;28934;0;32569
;;industriefunctie;2004;151752;4574;158329
;;kantoorfunctie;24331;79504;2066;105901
;;logiesfunctie;1030;241;0;1272
;;onderwijsfunctie;556;12039;0;12595
;;overige gebruiksfunctie;3940;22096;436;26471
;;sportfunctie;593;9879;0;10472
;;winkelfunctie;7815;16151;0;23965
;;woonfunctie;548830;160930;17146;726905
614;Westvoorne;onbekend;460799;635275;41893;1137967
;;bijeenkomstfunctie;5799;14327;0;20126
;;gezondheidszorgfunctie;2882;676;0;3558
;;industriefunctie;317949;53059;455;371462
;;kantoorfunctie;2694;29203;0;31898
;;logiesfunctie;7517;10155;0;17672
;;onderwijsfunctie;1425;8700;0;10126
;;overige gebruiksfunctie;800;5173;1294;7268
;;sportfunctie;3231;3715;0;6946
;;winkelfunctie;6086;19105;0;25191
;;woonfunctie;518688;152822;8581;680091
622;Vlaardingen;onbekend;43695;210938;2926;257559
;;bijeenkomstfunctie;11028;37270;0;48299
;;gezondheidszorgfunctie;2064;18362;717;21143
;;industriefunctie;22375;391764;1148;415288
;;kantoorfunctie;5994;69940;0;75934
;;logiesfunctie;1043;3680;0;4723
;;onderwijsfunctie;740;60850;0;61591
;;overige gebruiksfunctie;7418;102158;508;110084
;;sportfunctie;6790;40024;179;46994
;;winkelfunctie;9813;117599;58;127470
;;woonfunctie;585494;704206;28775;1318474
626;Voorschoten;onbekend;56379;72170;892;129441
;;bijeenkomstfunctie;6616;16517;0;23133
;;gezondheidszorgfunctie;2987;5650;0;8637
;;industriefunctie;24486;70721;2558;97765
;;kantoorfunctie;9377;19854;317;29548
;;logiesfunctie;0;4015;0;4015
;;onderwijsfunctie;0;18160;0;18160
;;overige gebruiksfunctie;9598;38350;8549;56497
;;sportfunctie;2628;3921;0;6549
;;winkelfunctie;11698;28630;850;41177
;;woonfunctie;494982;177288;7670;679939
627;Waddinxveen;onbekend;165176;276633;71152;512961
;;bijeenkomstfunctie;6143;15827;0;21970
;;gezondheidszorgfunctie;346;4211;0;4558
;;industriefunctie;590945;635929;3283;1230157
;;kantoorfunctie;3104;120210;72518;195832
;;logiesfunctie;0;0;290;290
;;onderwijsfunctie;1694;23292;0;24986
;;overige gebruiksfunctie;23017;79701;346;103064
;;sportfunctie;0;13172;0;13172
;;standplaats;93;110;0;203
;;winkelfunctie;4751;56022;559;61332
;;woonfunctie;508918;231165;53875;793958
629;Wassenaar;onbekend;167710;101153;3010;271873
;;bijeenkomstfunctie;16732;19993;0;36725
;;gezondheidszorgfunctie;47;3887;0;3933
;;industriefunctie;8438;62886;185;71508
;;kantoorfunctie;4878;33859;0;38738
;;logiesfunctie;2815;1456;0;4270
;;onderwijsfunctie;2430;30273;0;32703
;;overige gebruiksfunctie;10342;26418;118;36878
;;sportfunctie;2690;20270;0;22960
;;winkelfunctie;16470;17805;0;34275
;;woonfunctie;762225;201913;6699;970838
632;Woerden;onbekend;683368;433509;5667;1122545
;;bijeenkomstfunctie;18641;23974;0;42615
;;gezondheidszorgfunctie;1446;12481;0;13927
;;industriefunctie;312321;525583;1471;839375
;;kantoorfunctie;6940;147080;378;154399
;;logiesfunctie;447;2099;0;2545
;;onderwijsfunctie;4806;57003;0;61809
;;overige gebruiksfunctie;6722;26327;11;33060
;;sportfunctie;2203;19175;0;21378
;;winkelfunctie;21779;71392;0;93170
;;woonfunctie;1147906;388016;25168;1561089
637;Zoetermeer;onbekend;77936;284142;7477;369555
;;bijeenkomstfunctie;21157;84684;143;105984
;;celfunctie;0;7330;0;7330
;;gezondheidszorgfunctie;1945;39145;0;41089
;;industriefunctie;11538;365930;6486;383953
;;kantoorfunctie;10118;251164;966;262247
;;logiesfunctie;2240;3358;0;5597
;;onderwijsfunctie;490;103215;369;104074
;;overige gebruiksfunctie;15736;167960;2275;185971
;;sportfunctie;3885;94021;725;98631
;;winkelfunctie;38926;278093;1284;318303
;;woonfunctie;1444138;1145218;61146;2650503
638;Zoeterwoude;onbekend;76522;71549;5821;153893
;;bijeenkomstfunctie;3291;7531;48;10871
;;gezondheidszorgfunctie;2103;7262;0;9365
;;industriefunctie;17912;302845;601;321358
;;kantoorfunctie;1760;60488;0;62248
;;logiesfunctie;1403;0;0;1403
;;onderwijsfunctie;0;6427;0;6427
;;overige gebruiksfunctie;1118;12314;106;13539
;;sportfunctie;0;2742;0;2742
;;winkelfunctie;3420;57929;0;61348
;;woonfunctie;218946;62833;8940;290719
642;Zwijndrecht;onbekend;71334;485106;2376;558816
;;bijeenkomstfunctie;8438;45076;0;53514
;;gezondheidszorgfunctie;480;20002;0;20482
;;industriefunctie;13138;419887;0;433025
;;kantoorfunctie;4984;103140;5641;113765
;;logiesfunctie;0;715;0;715
;;onderwijsfunctie;1727;35153;0;36880
;;overige gebruiksfunctie;9436;54619;70;64125
;;sportfunctie;1444;22184;0;23629
;;standplaats;177;113;0;289
;;winkelfunctie;4820;63843;0;68663
;;woonfunctie;754974;279630;11486;1046090
654;Borsele;onbekend;369702;927893;22796;1320392
;;bijeenkomstfunctie;19425;19551;74;39050
;;gezondheidszorgfunctie;1416;1652;0;3068
;;industriefunctie;42202;257976;3146;303324
;;kantoorfunctie;5049;50462;696;56207
;;logiesfunctie;21522;5952;111;27584
;;onderwijsfunctie;1906;11857;0;13763
;;overige gebruiksfunctie;8665;12828;133;21625
;;sportfunctie;1616;3291;0;4907
;;winkelfunctie;12298;69838;117;82253
;;woonfunctie;829960;128551;14762;973272
664;Goes;onbekend;156894;239072;9410;405376
;;bijeenkomstfunctie;13181;46159;0;59340
;;gezondheidszorgfunctie;1814;47928;0;49742
;;industriefunctie;38853;274096;3807;316755
;;kantoorfunctie;18124;150857;8550;177532
;;logiesfunctie;5776;4951;62;10789
;;onderwijsfunctie;4815;61496;0;66312
;;overige gebruiksfunctie;10400;53460;186;64046
;;sportfunctie;2661;23264;0;25925
;;standplaats;44;0;0;44
;;winkelfunctie;20332;179153;5377;204861
;;woonfunctie;934482;370637;43534;1348652
668;West Maas en Waal;onbekend;349185;403420;8755;761361
;;bijeenkomstfunctie;8755;425;0;9180
;;gezondheidszorgfunctie;1033;4897;0;5929
;;industriefunctie;57780;231699;1590;291069
;;kantoorfunctie;7606;34463;750;42819
;;logiesfunctie;20033;4138;428;24599
;;onderwijsfunctie;2317;12501;0;14818
;;overige gebruiksfunctie;2625;24847;3582;31053
;;sportfunctie;3851;18086;0;21937
;;winkelfunctie;14709;60710;0;75419
;;woonfunctie;789774;192086;17958;999818
677;Hulst;onbekend;451459;526523;7962;985944
;;bijeenkomstfunctie;20641;21662;366;42669
;;gezondheidszorgfunctie;2743;3199;0;5942
;;industriefunctie;57820;243018;789;301628
;;kantoorfunctie;5209;41236;1803;48248
;;logiesfunctie;671;0;0;671
;;onderwijsfunctie;5291;24830;0;30121
;;overige gebruiksfunctie;14042;50963;6919;71923
;;sportfunctie;4051;5561;0;9612
;;winkelfunctie;12829;70268;355;83452
;;woonfunctie;1102936;216543;19740;1339219
678;Kapelle;onbekend;632342;115001;3889;751232
;;bijeenkomstfunctie;7326;8557;0;15884
;;gezondheidszorgfunctie;1163;370;0;1534
;;industriefunctie;24086;363060;136509;523654
;;kantoorfunctie;2989;29453;279;32721
;;logiesfunctie;37648;10701;3433;51782
;;onderwijsfunctie;0;11319;0;11319
;;overige gebruiksfunctie;2628;8754;103;11485
;;sportfunctie;543;8184;0;8727
;;winkelfunctie;4460;17762;0;22221
;;woonfunctie;388599;85559;11521;485679
687;Middelburg (Z.);onbekend;147853;209084;7264;364201
;;bijeenkomstfunctie;16658;24538;0;41196
;;gezondheidszorgfunctie;1936;8385;0;10321
;;industriefunctie;33644;61628;3067;98340
;;kantoorfunctie;14372;64181;3610;82163
;;logiesfunctie;8672;8088;13407;30168
;;onderwijsfunctie;4295;37354;0;41649
;;overige gebruiksfunctie;103153;194138;2141;299431
;;sportfunctie;1583;53829;0;55413
;;winkelfunctie;48235;294315;98;342648
;;woonfunctie;1151938;362459;31660;1546057
703;Reimerswaal;onbekend;414448;307829;24904;747181
;;bijeenkomstfunctie;15668;13891;0;29559
;;gezondheidszorgfunctie;1762;5020;0;6782
;;industriefunctie;841942;370807;4928;1217677
;;kantoorfunctie;2473;14854;0;17327
;;logiesfunctie;1063;5205;0;6268
;;onderwijsfunctie;1772;17265;0;19037
;;overige gebruiksfunctie;9131;26185;1353;36669
;;sportfunctie;385;3936;0;4320
;;standplaats;517;0;0;517
;;winkelfunctie;21093;43592;0;64685
;;woonfunctie;645882;111650;24259;781791
715;Terneuzen;onbekend;668257;1654739;41733;2364729
;;bijeenkomstfunctie;18056;64338;546;82939
;;gezondheidszorgfunctie;2296;34392;0;36688
;;industriefunctie;82182;562156;10116;654454
;;kantoorfunctie;16968;307399;28711;353079
;;logiesfunctie;5891;6363;314;12568
;;onderwijsfunctie;1656;63337;0;64993
;;overige gebruiksfunctie;218456;255648;3874;477978
;;sportfunctie;6271;31532;74;37878
;;standplaats;0;146;0;146
;;winkelfunctie;28200;197628;4116;229945
;;woonfunctie;1597187;427246;31666;2056099
716;Tholen;onbekend;553816;449175;6572;1009563
;;bijeenkomstfunctie;17297;17312;0;34609
;;gezondheidszorgfunctie;2097;1417;0;3514
;;industriefunctie;104930;340870;17824;463624
;;kantoorfunctie;5752;64705;13520;83977
;;logiesfunctie;16025;7130;5024;28179
;;onderwijsfunctie;1450;23496;0;24946
;;overige gebruiksfunctie;14599;24951;1707;41257
;;sportfunctie;512;12736;72;13320
;;winkelfunctie;13871;79374;1088;94333
;;woonfunctie;803803;141121;22421;967345
717;Veere;onbekend;346985;282413;12432;641830
;;bijeenkomstfunctie;25174;37769;3273;66217
;;celfunctie;123;0;0;123
;;gezondheidszorgfunctie;1472;773;336;2580
;;industriefunctie;81469;145849;7038;234356
;;kantoorfunctie;7524;10792;0;18315
;;logiesfunctie;179570;90160;4571;274301
;;onderwijsfunctie;543;11627;0;12170
;;overige gebruiksfunctie;33759;18958;555;53272
;;sportfunctie;532;13574;0;14106
;;winkelfunctie;31228;37708;360;69296
;;woonfunctie;923245;145461;20051;1088757
718;Vlissingen;onbekend;103070;285568;4655;393293
;;bijeenkomstfunctie;18037;44116;65;62218
;;gezondheidszorgfunctie;524;17752;0;18276
;;industriefunctie;13516;895262;14367;923145
;;kantoorfunctie;7334;92570;283;100187
;;logiesfunctie;5925;10395;389;16709
;;onderwijsfunctie;2490;35891;0;38381
;;overige gebruiksfunctie;8634;54593;581;63808
;;sportfunctie;3058;28431;0;31489
;;winkelfunctie;12319;95854;0;108174
;;woonfunctie;888371;388639;12051;1289061
736;De Ronde Venen;onbekend;371489;402307;12550;786346
;;bijeenkomstfunctie;10830;26065;700;37594
;;gezondheidszorgfunctie;636;11057;0;11693
;;industriefunctie;120646;464043;1663;586351
;;kantoorfunctie;7065;70318;0;77383
;;ligplaats;45;435;0;480
;;logiesfunctie;7511;9877;3214;20602
;;onderwijsfunctie;2119;29690;0;31809
;;overige gebruiksfunctie;41908;167125;334;209367
;;sportfunctie;1332;31862;124;33318
;;winkelfunctie;12176;48893;0;61069
;;woonfunctie;1151591;379193;50143;1580926
737;Tytsjerksteradiel;onbekend;415122;435554;19584;870260
;;bijeenkomstfunctie;10373;26972;243;37587
;;gezondheidszorgfunctie;208;6550;547;7305
;;industriefunctie;30878;132554;2173;165605
;;kantoorfunctie;4649;38454;0;43103
;;logiesfunctie;3954;5636;3000;12589
;;onderwijsfunctie;2048;25205;0;27253
;;overige gebruiksfunctie;6432;40264;429;47125
;;sportfunctie;3409;20293;0;23701
;;winkelfunctie;7223;50776;0;57999
;;woonfunctie;1263592;332113;24806;1620512
743;Asten;onbekend;1165908;543557;10195;1719660
;;bijeenkomstfunctie;11036;13071;0;24107
;;gezondheidszorgfunctie;802;620;0;1422
;;industriefunctie;279334;390639;5499;675472
;;kantoorfunctie;3340;28445;0;31785
;;logiesfunctie;103045;14904;458;118408
;;onderwijsfunctie;1877;6394;0;8271
;;overige gebruiksfunctie;4868;9600;105;14573
;;sportfunctie;1850;23737;0;25588
;;winkelfunctie;30062;38196;0;68258
;;woonfunctie;640560;136885;4935;782380
744;Baarle-Nassau;onbekend;464102;312263;21594;797959
;;bijeenkomstfunctie;4642;2272;0;6914
;;gezondheidszorgfunctie;517;1645;0;2162
;;industriefunctie;48004;46314;1207;95525
;;kantoorfunctie;4294;74034;1397;79725
;;logiesfunctie;31623;44029;246;75898
;;onderwijsfunctie;433;6815;0;7249
;;overige gebruiksfunctie;10930;10396;60;21386
;;sportfunctie;443;5822;0;6265
;;winkelfunctie;6803;20203;0;27006
;;woonfunctie;318675;59901;2592;381167
748;Bergen op Zoom;onbekend;410159;650771;5015;1065946
;;bijeenkomstfunctie;23920;42457;18;66394
;;gezondheidszorgfunctie;5548;22007;31;27585
;;industriefunctie;92900;589678;17049;699627
;;kantoorfunctie;15515;197689;25192;238397
;;logiesfunctie;2711;5005;0;7716
;;onderwijsfunctie;5502;95805;0;101307
;;overige gebruiksfunctie;21985;376033;1530;399547
;;sportfunctie;1648;26065;0;27712
;;standplaats;0;101;0;101
;;winkelfunctie;24832;216278;2114;243224
;;woonfunctie;1368401;671924;39732;2080057
753;Best;onbekend;196195;426792;3310;626298
;;bijeenkomstfunctie;13855;15783;0;29638
;;gezondheidszorgfunctie;913;4207;0;5120
;;industriefunctie;13353;237007;0;250359
;;kantoorfunctie;6027;96690;2007;104724
;;logiesfunctie;106;4448;0;4554
;;onderwijsfunctie;566;18639;0;19205
;;overige gebruiksfunctie;7684;133604;317;141605
;;sportfunctie;165;21300;0;21465
;;winkelfunctie;3452;105193;0;108645
;;woonfunctie;796638;212373;17956;1026967
755;Boekel;onbekend;369434;407321;4485;781240
;;bijeenkomstfunctie;5322;6091;0;11412
;;gezondheidszorgfunctie;520;235;0;756
;;industriefunctie;48595;143862;158;192615
;;kantoorfunctie;6901;48505;0;55405
;;logiesfunctie;1632;1235;0;2867
;;onderwijsfunctie;2082;3123;0;5205
;;overige gebruiksfunctie;51133;14815;0;65948
;;sportfunctie;79;8356;0;8435
;;winkelfunctie;6889;22614;139;29642
;;woonfunctie;462672;131670;6948;601290
756;Boxmeer;onbekend;609846;566477;9410;1185732
;;bijeenkomstfunctie;16233;37519;0;53752
;;gezondheidszorgfunctie;2410;22192;0;24602
;;industriefunctie;117685;335613;0;453298
;;kantoorfunctie;22694;117780;7174;147648
;;logiesfunctie;8806;3880;0;12686
;;onderwijsfunctie;12544;31923;0;44466
;;overige gebruiksfunctie;16758;30643;153;47555
;;sportfunctie;2809;21713;0;24522
;;winkelfunctie;3743;34489;0;38232
;;woonfunctie;1110588;213416;14359;1338363
757;Boxtel;onbekend;379835;429099;4309;813243
;;bijeenkomstfunctie;11024;14231;0;25255
;;gezondheidszorgfunctie;0;3080;0;3080
;;industriefunctie;22808;216606;138;239552
;;kantoorfunctie;15228;114718;1209;131155
;;logiesfunctie;2117;7305;0;9423
;;onderwijsfunctie;1141;39817;0;40958
;;overige gebruiksfunctie;7735;44958;179;52872
;;sportfunctie;653;14250;0;14903
;;standplaats;370;0;0;370
;;winkelfunctie;9750;54851;0;64601
;;woonfunctie;886891;381628;5001;1273519
758;Breda;onbekend;1021198;1172666;14346;2208210
;;bijeenkomstfunctie;78751;177340;5165;261256
;;celfunctie;0;6614;0;6614
;;gezondheidszorgfunctie;18353;120587;650;139590
;;industriefunctie;205092;1906680;1493;2113265
;;kantoorfunctie;50121;424508;3715;478344
;;logiesfunctie;4817;23899;0;28717
;;onderwijsfunctie;24350;246378;0;270728
;;overige gebruiksfunctie;56530;292895;12540;361965
;;sportfunctie;2061;98866;0;100928
;;standplaats;389;0;0;389
;;winkelfunctie;58758;337423;6529;402711
;;woonfunctie;3565540;1693446;97557;5356542
762;Deurne;onbekend;951916;909686;26138;1887741
;;bijeenkomstfunctie;10964;26544;143;37651
;;gezondheidszorgfunctie;1646;3786;0;5432
;;industriefunctie;159145;360399;2620;522164
;;kantoorfunctie;11776;336169;2514;350459
;;logiesfunctie;9396;2087;0;11483
;;onderwijsfunctie;2075;31831;0;33906
;;overige gebruiksfunctie;13635;77445;1462;92542
;;sportfunctie;4132;38602;0;42734
;;winkelfunctie;19705;94790;3465;117960
;;woonfunctie;1278394;339342;9447;1627183
765;Pekela;onbekend;175219;102477;12844;290541
;;bijeenkomstfunctie;3881;6667;0;10548
;;gezondheidszorgfunctie;162;2574;0;2736
;;industriefunctie;19707;193883;580;214170
;;kantoorfunctie;1277;42223;0;43500
;;onderwijsfunctie;0;7047;0;7047
;;overige gebruiksfunctie;2120;7444;278;9842
;;sportfunctie;493;5976;0;6469
;;winkelfunctie;8121;21949;0;30070
;;woonfunctie;503041;100348;6256;609645
766;Dongen;onbekend;372798;480402;1560;854759
;;bijeenkomstfunctie;7546;8764;0;16310
;;gezondheidszorgfunctie;146;3450;0;3597
;;industriefunctie;130614;94962;9;225585
;;kantoorfunctie;12658;304732;0;317390
;;logiesfunctie;1499;542;0;2040
;;onderwijsfunctie;3770;18131;0;21901
;;overige gebruiksfunctie;3314;25040;58;28412
;;sportfunctie;642;14029;0;14672
;;winkelfunctie;7673;58177;0;65851
;;woonfunctie;812854;300660;14526;1128040
770;Eersel;onbekend;431066;315278;10640;756984
;;bijeenkomstfunctie;11968;5925;0;17893
;;gezondheidszorgfunctie;1341;5715;0;7056
;;industriefunctie;15015;173658;2547;191219
;;kantoorfunctie;8959;118041;0;127000
;;logiesfunctie;14975;7654;36;22664
;;onderwijsfunctie;2509;25123;0;27632
;;overige gebruiksfunctie;26357;24931;929;52218
;;sportfunctie;2039;12881;2106;17026
;;winkelfunctie;21991;34005;0;55995
;;woonfunctie;775146;198673;15643;989462
772;Eindhoven;onbekend;234170;1401764;19149;1655084
;;bijeenkomstfunctie;75694;196585;0;272279
;;celfunctie;0;3276;0;3276
;;gezondheidszorgfunctie;10840;82848;0;93688
;;industriefunctie;30828;1718814;1093;1750735
;;kantoorfunctie;38613;1080028;33127;1151768
;;logiesfunctie;2734;22530;0;25263
;;onderwijsfunctie;18998;421539;0;440538
;;overige gebruiksfunctie;22928;212091;575;235594
;;sportfunctie;12327;146800;0;159128
;;standplaats;951;917;0;1868
;;winkelfunctie;38421;495583;226;534231
;;woonfunctie;3998112;2161844;98613;6258570
777;Etten-Leur;onbekend;727994;789837;2122;1519954
;;bijeenkomstfunctie;16555;35319;0;51874
;;gezondheidszorgfunctie;5201;7739;0;12940
;;industriefunctie;46987;961546;503;1009036
;;kantoorfunctie;3574;146627;70091;220292
;;logiesfunctie;1752;4033;0;5785
;;onderwijsfunctie;1750;38370;221;40341
;;overige gebruiksfunctie;8252;45202;876;54330
;;sportfunctie;3453;22285;0;25739
;;winkelfunctie;8706;72121;6774;87601
;;woonfunctie;1023110;394345;18385;1435839
779;Geertruidenberg;onbekend;96800;305567;38073;440439
;;bijeenkomstfunctie;12605;17869;0;30474
;;gezondheidszorgfunctie;6100;5247;0;11347
;;industriefunctie;48829;577750;0;626579
;;kantoorfunctie;7073;45674;1955;54702
;;logiesfunctie;435;923;406;1763
;;onderwijsfunctie;1128;14376;0;15504
;;overige gebruiksfunctie;2775;17335;120;20230
;;sportfunctie;1509;8932;0;10441
;;winkelfunctie;9506;86508;196;96211
;;woonfunctie;583476;119637;9993;713107
784;Gilze en Rijen;onbekend;322202;418517;2046;742764
;;bijeenkomstfunctie;10794;24334;0;35127
;;gezondheidszorgfunctie;172;9404;0;9576
;;industriefunctie;28020;441587;100;469707
;;kantoorfunctie;11040;105948;0;116988
;;logiesfunctie;7958;12812;0;20770
;;onderwijsfunctie;790;20904;0;21694
;;overige gebruiksfunctie;39488;79651;222;119362
;;sportfunctie;4094;40024;0;44118
;;winkelfunctie;6776;43030;297;50103
;;woonfunctie;751209;226939;11845;989994
785;Goirle;onbekend;127298;209702;2630;339630
;;bijeenkomstfunctie;7218;10000;0;17218
;;gezondheidszorgfunctie;1464;7102;0;8567
;;industriefunctie;20750;243337;2141;266228
;;kantoorfunctie;2508;15450;0;17958
;;logiesfunctie;1068;1322;343;2733
;;onderwijsfunctie;423;30920;0;31343
;;overige gebruiksfunctie;4107;13186;25;17318
;;sportfunctie;2000;20144;0;22144
;;winkelfunctie;5759;58203;0;63962
