"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 3 categorieën/1 Laag onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/2 Middelbaar onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/3 Hoog onderwijsniveau (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Grave";"    9500";"    25.0";"    47.3";"    27.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"'s-Gravenhage (gemeente)";"  426100";"    29.4";"    34.4";"    36.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Groesbeek";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Groningen (gemeente)";"  191500";"    16.1";"    39.6";"    44.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Grootegast";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gulpen-Wittem";"   10600";"    24.9";"    42.8";"    32.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Haaksbergen";"   17800";"    24.9";"    48.0";"    27.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Haaren";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Haarlem";"  122600";"    22.4";"    34.1";"    43.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Haarlemmerliede en Spaarnwoude";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Haarlemmermeer";"  120500";"    25.6";"    43.4";"    31.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Halderberge";"   22900";"    30.5";"    46.7";"    22.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hardenberg";"   46100";"    29.9";"    50.8";"    19.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Harderwijk";"   36400";"    28.4";"    43.7";"    27.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hardinxveld-Giessendam";"   13300";"    30.5";"    49.3";"    20.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Haren";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Harlingen";"   11700";"    30.3";"    47.8";"    22.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Hattem";"    8900";"    23.5";"    45.8";"    30.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heemskerk";"   29100";"    27.8";"    47.8";"    24.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heemstede";"   18800";"    18.3";"    27.4";"    54.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Heerde";"   13900";"    28.4";"    46.7";"    24.9"
